Not parsed URLs
twitter.com/metronewyork
instagram.com/metronewyork
twitter.com/metroBOS
instagram.com/metroboston
jobs.metro.us
www.metro.us/main-category/president-trump
www.metro.us/main-category/lifestyle-0
www.metro.us/taxonomy/term/2305
www.metro.us/main-category/tv
twitter.com/metrophilly
www.instagram.com/metronewyork
instagram.com/metrophilly
media.metro.us
www.metro.us/main-category/movies
www.metro.us/legacy-42
www.metro.us/main-category/celebrities
